nohup: 忽略输入
battery shared data already exists: /home/kkkk24/桌面/attention-GP/py project/battery/generated_data/shared_data.xlsx
battery: run 240 pending tasks with 4 workers
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
Saved battery: method=PM, n_initial=180, repeat=15/30, RMSE_all=26.0672, RMSE_target=26.0494, MAE_all=12.1258
Saved battery: method=G_opt, n_initial=180, repeat=15/30, RMSE_all=13.2507, RMSE_target=5.8262, MAE_all=9.7027
Saved battery: method=UCB, n_initial=180, repeat=15/30, RMSE_all=18.1572, RMSE_target=5.1600, MAE_all=10.6492
Saved battery: method=LHS, n_initial=180, repeat=16/30, RMSE_all=14.8347, RMSE_target=20.2734, MAE_all=10.4299
Saved battery: method=EI, n_initial=180, repeat=15/30, RMSE_all=13.2488, RMSE_target=5.4157, MAE_all=9.7780
Saved battery: method=D_opt, n_initial=180, repeat=16/30, RMSE_all=13.2238, RMSE_target=6.9410, MAE_all=9.5710
Saved battery: method=K_means, n_initial=180, repeat=16/30, RMSE_all=13.6085, RMSE_target=6.2995, MAE_all=9.4944
Saved battery: method=IMSE, n_initial=180, repeat=15/30, RMSE_all=14.3586, RMSE_target=9.7225, MAE_all=10.8623
Saved battery: method=PM, n_initial=180, repeat=16/30, RMSE_all=16.4644, RMSE_target=7.0492, MAE_all=11.0302
Saved battery: method=EI, n_initial=180, repeat=16/30, RMSE_all=13.0822, RMSE_target=5.5289, MAE_all=9.3247
Saved battery: method=G_opt, n_initial=180, repeat=16/30, RMSE_all=13.2865, RMSE_target=5.5755, MAE_all=9.6166
Saved battery: method=LHS, n_initial=180, repeat=17/30, RMSE_all=13.4802, RMSE_target=6.8375, MAE_all=10.0199
Saved battery: method=UCB, n_initial=180, repeat=16/30, RMSE_all=13.6161, RMSE_target=8.7777, MAE_all=10.2249
Saved battery: method=D_opt, n_initial=180, repeat=17/30, RMSE_all=16.4173, RMSE_target=11.3724, MAE_all=10.1647
Saved battery: method=K_means, n_initial=180, repeat=17/30, RMSE_all=16.4941, RMSE_target=8.8732, MAE_all=10.3706
Saved battery: method=IMSE, n_initial=180, repeat=16/30, RMSE_all=13.7537, RMSE_target=9.7004, MAE_all=10.3595
Saved battery: method=PM, n_initial=180, repeat=17/30, RMSE_all=16.0232, RMSE_target=7.4686, MAE_all=10.4172
Saved battery: method=G_opt, n_initial=180, repeat=17/30, RMSE_all=13.0982, RMSE_target=6.0035, MAE_all=9.4846
Saved battery: method=EI, n_initial=180, repeat=17/30, RMSE_all=12.9600, RMSE_target=5.3677, MAE_all=9.1345
Saved battery: method=LHS, n_initial=180, repeat=18/30, RMSE_all=13.5616, RMSE_target=9.0920, MAE_all=9.5325
Saved battery: method=UCB, n_initial=180, repeat=17/30, RMSE_all=21.2689, RMSE_target=4.8236, MAE_all=10.5091
Saved battery: method=D_opt, n_initial=180, repeat=18/30, RMSE_all=14.4565, RMSE_target=11.5554, MAE_all=10.8381
Saved battery: method=K_means, n_initial=180, repeat=18/30, RMSE_all=14.6701, RMSE_target=17.6312, MAE_all=10.6431
Saved battery: method=PM, n_initial=180, repeat=18/30, RMSE_all=15.3643, RMSE_target=5.9610, MAE_all=9.6536
Saved battery: method=IMSE, n_initial=180, repeat=17/30, RMSE_all=13.4841, RMSE_target=9.0811, MAE_all=10.2717
Saved battery: method=G_opt, n_initial=180, repeat=18/30, RMSE_all=13.2360, RMSE_target=6.1489, MAE_all=9.7590
Saved battery: method=EI, n_initial=180, repeat=18/30, RMSE_all=13.2724, RMSE_target=6.5772, MAE_all=9.6427
Saved battery: method=LHS, n_initial=180, repeat=19/30, RMSE_all=38.1582, RMSE_target=7.3723, MAE_all=12.4670
Saved battery: method=UCB, n_initial=180, repeat=18/30, RMSE_all=13.3500, RMSE_target=4.9789, MAE_all=9.7176
Saved battery: method=D_opt, n_initial=180, repeat=19/30, RMSE_all=13.6830, RMSE_target=9.0057, MAE_all=10.6269
